Algorithm,test_rmse,fit_time,test_time
SVDpp,0.8484779946037095,206.29228035608926,12.262134393056234
KNNBaseline,0.8547365641377046,0.3135651747385661,2.8812694549560547
BaselineOnly,0.8608044107665801,0.20666035016377768,0.20219985644022623
SVD,0.863510592041174,3.4507714907328286,0.3628317515055339
KNNWithZScore,0.8677336462149797,0.18810598055521646,2.595127900441488
KNNWithMeans,0.8678455317167305,0.12352053324381511,2.4120020071665444
SlopeOne,0.8729502638551497,1.9279338518778484,7.160106102625529
NMF,0.9022259877558055,4.166101853052775,0.37017544110616046
CoClustering,0.9198459755419864,1.8224547704060872,0.20819266637166342
KNNBasic,0.9237448954115924,0.11142373085021973,2.424840291341146
NormalPredictor,1.3957101840305246,0.11525718371073405,0.3187321027119954
